"x","y","value","cluster"
106.765540262121,-6.19240260309444,21113.8988752462,5
106.765540262121,-6.19018334118125,17884.6716974882,5
106.767792466689,-6.19462186500763,15769.806757244,0
106.767792466689,-6.19240260309444,17932.0692456916,5
106.770044671258,-6.2478841509241,16445.6748632988,0
106.770044671258,-6.24566488901091,16447.4781435423,0
106.772296875826,-6.2478841509241,19443.755084779,0
106.772296875826,-6.24566488901091,19443.9557431695,0
106.774549080395,-6.2478841509241,16445.1767300573,0
106.774549080395,-6.24566488901091,16445.1739294438,0
106.7813056941,-6.17464850778895,20004.7210545601,0
106.7813056941,-6.17242924587576,21595.26390903,6
106.7813056941,-6.17020998396258,18657.7198570447,6
106.783557898668,-6.17464850778895,22328.2604704506,6
106.783557898668,-6.17242924587576,26862.2020037515,6
106.783557898668,-6.17020998396258,26720.578503677,6
106.783557898668,-6.16799072204939,22704.871302557,6
106.783557898668,-6.1657714601362,16609.5426303345,6
106.783557898668,-6.13248253143841,16587.513015016,0
106.783557898668,-6.13026326952522,19468.0832910525,0
106.783557898668,-6.12804400761203,16679.2815725841,0
106.783557898668,-6.1169476980461,16776.5786726035,0
106.783557898668,-6.11472843613291,17372.5599881194,7
106.785810103237,-6.17464850778895,20477.5235421402,6
106.785810103237,-6.17242924587576,28295.5821752019,6
106.785810103237,-6.17020998396258,32759.0710892045,6
106.785810103237,-6.16799072204939,32022.7374101176,6
106.785810103237,-6.1657714601362,26056.7035373557,6
106.785810103237,-6.16355219822302,17142.7725644773,6
106.785810103237,-6.13248253143841,16908.5779410936,0
106.785810103237,-6.13026326952522,19608.4176051935,0
106.785810103237,-6.12804400761203,16756.3546633486,0
106.785810103237,-6.1169476980461,19961.1736002266,7
106.785810103237,-6.11472843613291,20754.5307402601,7
106.785810103237,-6.11250917421973,17020.30623327,7
106.788062307805,-6.17464850778895,16082.7850508142,6
106.788062307805,-6.17242924587576,25674.3899637642,6
106.788062307805,-6.17020998396258,34000.1446297359,6
106.788062307805,-6.16799072204939,37067.1642040121,6
106.788062307805,-6.1657714601362,32632.6244224637,6
106.788062307805,-6.16355219822302,22631.6325347392,6
106.788062307805,-6.1169476980461,17216.4121387877,0
106.788062307805,-6.11472843613291,17845.6204547936,7
106.790314512374,-6.17242924587576,20079.9694876748,6
106.790314512374,-6.17020998396258,29800.7769894056,6
106.790314512374,-6.16799072204939,35697.5275690448,6
106.790314512374,-6.1657714601362,33801.8039059592,6
106.790314512374,-6.16355219822302,24740.1111351675,6
106.792566716942,-6.23900710327135,20058.2876277487,8
106.792566716942,-6.23678784135817,23903.6694798865,8
106.792566716942,-6.23456857944498,23029.8050807727,8
106.792566716942,-6.2323493175318,17535.9941247646,8
106.792566716942,-6.17020998396258,23583.8894112138,6
106.792566716942,-6.16799072204939,31219.4385765696,6
106.792566716942,-6.1657714601362,32046.3073058489,6
106.792566716942,-6.16355219822302,24914.0560373999,6
106.794818921511,-6.26341898431641,17918.4721140858,9
106.794818921511,-6.24566488901091,16345.1872778239,8
106.794818921511,-6.24344562709773,20303.8598193824,8
106.794818921511,-6.24122636518454,25596.4592608372,8
106.794818921511,-6.23900710327135,33360.9476467679,8
106.794818921511,-6.23678784135817,39910.9138066333,8
106.794818921511,-6.23456857944498,39703.7039689959,8
106.794818921511,-6.2323493175318,31849.6726848412,8
106.794818921511,-6.23013005561861,20749.0052909951,8
