country,nThumbsUp,city,reportRating,confidence,reliability,type,uuid,roadType,magvar,subtype,street,location/x,location/y,pubMillis,reportDescription
ID,0,Jakarta Barat,3,0,5,WEATHERHAZARD,23a733b6-eb4a-3938-8919-8211fadf5770,7,177,HAZARD_ON_SHOULDER_CAR_STOPPED,Arteri Kelapa Dua Raya,106.769536,-6.203959,1507270053606,
ID,0,Jakarta Pusat,1,0,5,JAM,ae4ecb22-d959-32a1-a991-5970afaf86c7,7,193,JAM_STAND_STILL_TRAFFIC,KH Mas Mansyur,106.815138,-6.190718,1507270070299,
ID,0,Jakarta Barat,2,0,6,WEATHERHAZARD,d28863ff-4304-3000-bd16-d40c7f83d91d,7,166,HAZARD_ON_ROAD_CONSTRUCTION,Hayam Wuruk,106.818353,-6.155858,1507270138547,
ID,0,Jakarta Selatan,3,0,5,JAM,8ce6ae44-dff2-36b8-8d23-bd471cad8eb9,7,179,JAM_STAND_STILL_TRAFFIC,Sisingamangaraja,106.798562,-6.23503,1507270147240,
ID,0,Jakarta Selatan,2,0,5,JAM,92dfdd58-e3a5-35b3-ad2d-9542529e97ba,7,295,JAM_STAND_STILL_TRAFFIC,Pattimura,106.80016,-6.229606,1507270148376,
ID,0,Jakarta Pusat,0,0,5,JAM,f63dbcac-729f-365a-b4cb-7141ca65c715,7,268,JAM_STAND_STILL_TRAFFIC,Underpass Senen,106.845971,-6.175107,1507270168203,
ID,0,Jakarta Pusat,1,0,5,JAM,56220e95-5725-3100-b32e-57a9808ea9db,7,359,,Gunung Sahari,106.834206,-6.147145,1507270184107,
ID,0,Jakarta Timur,2,1,7,WEATHERHAZARD,82642c56-5aca-32da-b14b-d8c0bd6f3e34,7,273,HAZARD_ON_ROAD_CONSTRUCTION,Kalimalang,106.923256,-6.247595,1507269371794,
ID,0,Jakarta Utara,2,0,6,JAM,ba76e674-f7c5-36c0-a8de-903a65c1fdf3,6,261,JAM_STAND_STILL_TRAFFIC,N1 Pakin Raya,106.80793,-6.127853,1507269770997,
ID,0,Jakarta Selatan,2,0,5,JAM,30909304-b3f5-39c5-a4f7-5b4ef5d3f44f,6,332,JAM_HEAVY_TRAFFIC,N2 Gatot Subroto,106.814621,-6.223146,1507269783474,
ID,0,Jakarta Selatan,3,0,5,JAM,e7f127fb-da3f-39b3-89cc-f941ba47e109,6,179,JAM_MODERATE_TRAFFIC,N12 Metro Pondok Indah,106.783689,-6.266459,1507269980722,
ID,0,Jakarta Barat,1,0,5,JAM,8803e49f-e73c-3c7c-849a-6438f73458d6,6,356,JAM_MODERATE_TRAFFIC,N1 Prof Dr Latumeten,106.793364,-6.143434,1507270040279,
ID,0,Jakarta Timur,0,0,5,JAM,910eeed4-3c4d-3d26-a61f-3aaf909387f8,6,277,JAM_MODERATE_TRAFFIC,N2 MT Haryono,106.864152,-6.243413,1507270109069,
ID,0,Jakarta Selatan,1,1,7,JAM,86fa4425-2553-3b7f-9487-2f701350b213,6,142,JAM_HEAVY_TRAFFIC,N2 Gatot Subroto,106.815311,-6.223212,1507269296659,
ID,0,Tangerang Selatan,2,0,5,JAM,a137b3a7-38ee-3f58-89c0-2a3d52de0d71,6,4,JAM_HEAVY_TRAFFIC,N12 Ir H Juanda,106.765071,-6.294311,1507269477504,
ID,0,Jakarta Utara,2,0,5,JAM,66e67f52-4bfb-3503-b52d-511ab089ceac,6,87,JAM_HEAVY_TRAFFIC,N1 Pakin Raya,106.809455,-6.127619,1507269519438,
ID,0,Jakarta Utara,2,0,6,JAM,f7b4245f-76eb-3bf3-b073-1eb22c5c1abd,6,265,JAM_STAND_STILL_TRAFFIC,N1 Pakin Raya,106.809458,-6.127649,1507269548874,padatttt
ID,0,Tangerang Selatan,2,0,5,JAM,99851b2d-2391-3d29-97bb-eccc4e4a0183,6,222,,N12 Ir H Juanda,106.757127,-6.306245,1507269645292,
